Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lawrence Ati-Zigi,GK,gh Ghana,26-016,1.ch St. Gallen,1996,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nathaniel Atkinson,DF,au Australia,23-185,1.sct Hearts,1999,1,1,84,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Yahya Attiat Allah,DF,ma Morocco,27-288,1.ma Wydad Casablanca,1995,5,1,228,2.5,0,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,0.2,0.2,1.2,1.3,0.08,0.52,0.60,0.08,0.60,Matches
André Ayew,"MF,FW",gh Ghana,32-363,1.qa Al Sadd SC,1989,3,3,198,2.2,1,0,1,0,1,1,0,0.45,0.00,0.45,0.45,0.45,1.1,0.4,0.0,0.4,0.52,0.00,0.52,0.16,0.16,Matches
Jordan Ayew,FW,gh Ghana,31-095,1.eng Crystal Palace,1991,3,2,136,1.5,0,1,0,0,0,0,0,0.00,0.66,0.66,0.00,0.66,0.1,0.1,0.5,0.5,0.03,0.32,0.36,0.03,0.36,Matches
Sardar Azmoun,FW,ir IR Iran,27-348,1.de Leverkusen,1995,3,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.67,0.05,0.71,0.67,0.71,Matches
César Azpilicueta,DF,es Spain,33-109,1.eng Chelsea,1989,2,2,135,1.5,0,1,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,0.0,0.0,0.7,0.7,0.00,0.45,0.45,0.00,0.45,Matches
Srđan Babić,DF,rs Serbia,26-237,1.es Almería,1996,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Keanu Baccus,MF,au Australia,24-191,1.sct St Mirren,1998,4,1,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
Alexander Bah,DF,dk Denmark,25-006,1.pt Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.11,0.14,0.25,0.11,0.25,Matches
Hattan Bahebri,MF,sa Saudi Arabia,30-152,1.sa Al-Shabab,1992,2,0,4,0.0,0,1,0,0,0,1,0,0.00,22.50,22.50,0.00,22.50,0.0,0.0,0.6,0.6,0.00,14.37,14.37,0.00,14.37,Matches
Alejandro Balde,DF,es Spain,19-058,1.es Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
Gareth Bale,FW,wls Wales,33-152,1.us Los Angeles FC,1989,3,3,225,2.5,1,0,0,1,1,1,0,0.40,0.00,0.40,0.00,0.00,0.8,0.0,0.2,0.2,0.32,0.08,0.41,0.01,0.09,Matches
Fodé Ballo-Touré,DF,sn Senegal,25-346,1.it Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Badr Banoun,DF,ma Morocco,29-076,1.qa Qatar SC,1993,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Borna Barišić,DF,hr Croatia,30-035,1.sct Rangers,1992,1,1,120,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.12,0.14,0.02,0.14,Matches
Meshaal Barsham,GK,qa Qatar,24-304,1.qa Al Sadd SC,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Christian Bassogog,MF,cm Cameroon,27-058,1.cn Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Michy Batshuayi,FW,be Belgium,29-074,1.tr Fenerbahçe,1993,2,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,0.8,0.8,0.1,0.8,0.45,0.03,0.48,0.45,0.48,Matches
Jan Bednarek,DF,pl Poland,26-247,1.eng Aston Villa,1996,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Aziz Behich,DF,au Australia,31-364,1.sct Dundee United,1990,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Alireza Beiranvand,GK,ir IR Iran,30-085,1.ir Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jude Bellingham,MF,eng England,19-169,1.de Dortmund,2003,5,5,414,4.6,1,1,1,0,0,0,0,0.22,0.22,0.43,0.22,0.43,0.6,0.6,0.3,0.9,0.12,0.07,0.19,0.12,0.19,Matches
Anis Ben Slimane,MF,tn Tunisia,21-274,1.dk Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.06,0.12,0.07,0.12,Matches
Jewison Bennette,MF,cr Costa Rica,18-183,2.eng Sunderland,2004,3,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
Rodrigo Bentancur,MF,uy Uruguay,25-173,1.eng Tottenham,1997,3,3,213,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.8,0.26,0.06,0.32,0.26,0.32,Matches
Bartosz Bereszyński,DF,pl Poland,30-156,1.it Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Steven Berghuis,MF,nl Netherlands,30-361,1.nl Ajax,1991,4,1,200,2.2,0,1,0,0,0,1,0,0.00,0.45,0.45,0.00,0.45,0.3,0.3,0.1,0.3,0.13,0.04,0.17,0.13,0.17,Matches
Steven Bergwijn,FW,nl Netherlands,25-068,1.nl Ajax,1997,4,3,213,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.21,0.00,0.21,0.21,0.21,Matches
Krystian Bielik,MF,pl Poland,24-345,3.eng Derby County,1998,4,2,216,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07,Matches
Daley Blind,DF,nl Netherlands,32-281,1.nl Ajax,1990,5,5,423,4.7,1,1,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43,0.4,0.4,0.5,0.8,0.08,0.10,0.18,0.08,0.18,Matches
Celso Borges,MF,cr Costa Rica,34-202,1.cr Liga Deportiva Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
Milan Borjan,GK,ca Canada,35-053,1.rs Red Star,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Karim Boudiaf,MF,qa Qatar,32-090,1.qa Al Duhail SC,1990,3,2,185,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
