Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jack Grealish,FW,eng England,27-096,1.eng Manchester City,1995,5,0,86,1.0,1,0,1,0,0,0,0,1.05,0.00,1.05,1.05,1.05,0.6,0.6,0.1,0.8,0.69,0.12,0.81,0.69,0.81,Matches
Antoine Griezmann,MF,fr France,31-269,1.es Atlético Madrid,1991,6,5,467,5.2,0,3,0,0,0,1,0,0.00,0.58,0.58,0.00,0.58,0.7,0.7,3.0,3.7,0.13,0.58,0.71,0.13,0.71,Matches
Kamil Grosicki,MF,pl Poland,34-190,1.pl Pogoń Szczecin,1988,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,1.69,1.69,0.00,1.69,Matches
Carlos Gruezo,MF,ec Ecuador,27-240,1.de Augsburg,1995,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Grujić,MF,rs Serbia,26-246,1.pt Porto,1996,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.26,0.00,0.26,0.26,0.26,Matches
Andrés Guardado,MF,mx Mexico,36-078,1.es Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nemanja Gudelj,"MF,DF",rs Serbia,31-029,1.es Sevilla,1991,2,1,92,1.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mattéo Guendouzi,"FW,MF",fr France,23-245,1.fr Marseille,1999,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Raphaël Guerreiro,DF,pt Portugal,28-358,1.de Dortmund,1993,4,3,279,3.1,1,2,1,0,0,0,0,0.32,0.65,0.97,0.32,0.97,0.4,0.4,0.6,1.0,0.12,0.19,0.31,0.12,0.31,Matches
Cho Guesung,FW,kr Korea Republic,24-324,1.kr Jeonbuk,1998,4,3,275,3.1,2,0,2,0,0,1,0,0.65,0.00,0.65,0.65,0.65,1.1,1.1,0.0,1.1,0.35,0.01,0.36,0.35,0.36,Matches
Pape Gueye,MF,sn Senegal,23-325,1.fr Marseille,1999,3,1,153,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.07,0.11,0.18,0.07,0.18,Matches
Bruno Guimarães,MF,br Brazil,25-029,1.eng Newcastle Utd,1997,2,0,69,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.92,0.00,0.92,0.92,0.92,Matches
İlkay Gündoğan,MF,de Germany,32-052,1.eng Manchester City,1990,3,3,189,2.1,1,0,0,1,1,0,0,0.48,0.00,0.48,0.00,0.00,1.1,0.4,0.1,0.5,0.54,0.05,0.60,0.17,0.22,Matches
Erick Gutiérrez,MF,mx Mexico,27-183,1.nl PSV Eindhoven,1995,1,0,49,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Joško Gvardiol,DF,hr Croatia,20-326,1.de RB Leipzig,2002,6,6,600,6.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.02,0.02,0.02,Matches
Asiri Haitham,FW,sa Saudi Arabia,21-265,2.sa Al-Ahli,2001,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ehsan Hajsafi,"MF,DF",ir IR Iran,32-293,1.gr AEK Athens,1990,3,3,237,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.06,0.08,0.15,0.06,0.15,Matches
Achraf Hakimi,DF,ma Morocco,24-041,1.fr Paris S-G,1998,6,6,541,6.0,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,0.3,0.5,0.02,0.06,0.08,0.02,0.08,Matches
Abderrazak Hamdallah,FW,ma Morocco,31-363,1.sa Al-Ittihad,1990,4,0,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.42,0.00,0.42,0.42,0.42,Matches
Abdelkarim Hassan,DF,qa Qatar,29-109,1.qa Al Sadd SC,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.10,0.01,0.11,0.10,0.11,Matches
Ali Al Hassan,MF,sa Saudi Arabia,25-286,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.15,0.00,0.15,0.15,0.15,Matches
Abdulaziz Hatem,MF,qa Qatar,32-048,1.qa Al Rayyan SC,1990,3,2,196,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Kai Havertz,FW,de Germany,23-187,1.eng Chelsea,1999,2,1,102,1.1,2,0,2,0,0,0,0,1.76,0.00,1.76,1.76,1.76,1.4,1.4,0.2,1.6,1.19,0.17,1.36,1.19,1.36,Matches
Hassan Al-Haydos,MF,qa Qatar,32-004,1.qa Al Sadd SC,1990,3,3,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.01,0.27,0.27,0.01,0.27,Matches
Eden Hazard,MF,be Belgium,31-342,1.es Real Madrid,1991,3,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.01,0.05,0.04,0.05,Matches
Thorgan Hazard,FW,be Belgium,29-261,1.de Dortmund,1993,2,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.3,1.3,0.00,1.07,1.07,0.00,1.07,Matches
Hwang Hee-chan,"MF,FW",kr Korea Republic,26-323,1.eng Wolves,1996,2,1,115,1.3,1,0,1,0,0,1,0,0.78,0.00,0.78,0.78,0.78,0.9,0.9,0.0,1.0,0.72,0.03,0.75,0.72,0.75,Matches
Jordan Henderson,MF,eng England,32-181,1.eng Liverpool,1990,4,3,271,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.3,0.5,0.05,0.11,0.16,0.05,0.16,Matches
Wayne Hennessey,GK,wls Wales,35-325,1.eng Nott'ham Forest,1987,2,2,175,1.9,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Hernández,DF,fr France,26-304,1.de Bayern Munich,1996,1,1,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Theo Hernández,DF,fr France,25-070,1.it Milan,1997,5,4,438,4.9,1,2,1,0,0,1,0,0.21,0.41,0.62,0.21,0.62,0.4,0.4,1.2,1.6,0.08,0.26,0.34,0.08,0.34,Matches
Héctor Herrera,MF,mx Mexico,32-240,1.us Houston Dynamo,1990,2,2,160,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches
Son Heung-min,"FW,MF",kr Korea Republic,30-160,1.eng Tottenham,1992,4,4,360,4.0,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.4,0.4,1.0,1.4,0.11,0.24,0.35,0.11,0.35,Matches
Piero Hincapié,DF,ec Ecuador,20-340,1.de Leverkusen,2002,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jonas Hofmann,FW,de Germany,30-154,1.de M'Gladbach,1992,2,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.3,0.82,0.16,0.98,0.82,0.98,Matches
Junior Hoilett,"FW,MF",ca Canada,32-193,2.eng Reading,1990,3,2,161,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.08,0.21,0.28,0.08,0.28,Matches
Martin Hongla,MF,cm Cameroon,24-274,1.it Hellas Verona,1998,2,2,121,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.04,0.05,0.09,0.04,0.09,Matches
Ricardo Horta,FW,pt Portugal,28-091,1.pt Braga,1994,3,1,119,1.3,1,0,1,0,0,0,0,0.76,0.00,0.76,0.76,0.76,0.8,0.8,0.1,0.8,0.58,0.05,0.63,0.58,0.63,Matches
Hossein Hosseini,GK,ir IR Iran,30-168,1.ir Esteghlal,1992,2,1,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Majid Hosseini,DF,ir IR Iran,26-178,1.tr Kayserispor,1996,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ajdin Hrustic,"MF,FW",au Australia,26-163,1.it Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
Atiba Hutchinson,MF,ca Canada,39-310,1.tr Beşiktaş,1983,3,2,159,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches
Pierre Højbjerg,MF,dk Denmark,27-132,1.eng Tottenham,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches
Romario Ibarra,MF,ec Ecuador,28-082,1.mx Pachuca,1994,2,1,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.19,0.00,0.19,0.19,0.19,Matches
Ivan Ilić,MF,rs Serbia,21-273,1.it Hellas Verona,2001,1,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches
Hwang In-beom,MF,kr Korea Republic,26-086,1.gr Olympiacos,1996,4,4,334,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.06,0.02,0.08,0.06,0.08,Matches
Jackson Irvine,"MF,FW",au Australia,29-283,2.de St. Pauli,1993,4,4,354,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.6,0.13,0.01,0.14,0.13,0.14,Matches
Ko Itakura,DF,jp Japan,25-322,1.de M'Gladbach,1997,3,3,270,3.0,0,1,0,0,0,2,0,0.00,0.33,0.33,0.00,0.33,0.2,0.2,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches
Hiroki Ito,DF,jp Japan,23-217,1.de Stuttgart,1999,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.09,0.09,0.00,0.09,Matches
Junya Ito,"MF,FW",jp Japan,29-281,1.fr Reims,1993,4,3,324,3.6,0,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,0.2,0.2,0.2,0.4,0.05,0.07,0.12,0.05,0.12,Matches
Yahya Jabrane,MF,ma Morocco,31-180,1.ma Wydad Casablanca,1991,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Nicolas Jackson,FW,sn Senegal,21-178,1.es Villarreal,2001,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Lee Jae-sung,"MF,FW",kr Korea Republic,30-127,1.de Mainz 05,1992,3,3,211,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,Matches
Alireza Jahanbakhsh,MF,ir IR Iran,29-126,1.nl Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.29,0.00,0.29,0.29,0.29,Matches
Ismail Jakobs,DF,sn Senegal,23-120,1.fr Monaco,1999,4,3,278,3.1,0,1,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,0.0,0.0,0.3,0.3,0.00,0.10,0.11,0.00,0.11,Matches
Abolfazl Jalali,DF,ir IR Iran,24-172,1.ir Esteghlal,1998,1,0,19,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel James,"FW,MF",wls Wales,25-035,1.eng Fulham,1997,3,2,154,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
Vincent Janssen,FW,nl Netherlands,28-183,1.be Antwerp,1994,2,1,86,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.04,0.13,0.09,0.13,Matches
Ardon Jasari,FW,ch Switzerland,20-138,1.ch Luzern,2002,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Issam Jebali,FW,tn Tunisia,30-355,1.dk Odense,1991,3,2,182,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.26,0.08,0.34,0.26,0.34,Matches
Artur Jędrzejczyk,DF,pl Poland,35-041,1.pl Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mathias Jensen,MF,dk Denmark,26-348,1.eng Brentford,1996,2,1,84,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.11,0.38,0.50,0.11,0.50,Matches
Gabriel Jesus,FW,br Brazil,25-256,1.eng Arsenal,1997,3,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.35,0.23,0.58,0.35,0.58,Matches
Raúl Jiménez,FW,mx Mexico,31-224,1.eng Wolves,1991,3,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kim Jin-su,DF,kr Korea Republic,30-185,1.kr Jeonbuk,1992,4,4,315,3.5,0,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,0.3,0.3,0.6,0.9,0.09,0.17,0.27,0.09,0.27,Matches
Brennan Johnson,"FW,MF",wls Wales,21-206,1.eng Nott'ham Forest,2001,3,0,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.21,0.00,0.21,0.21,0.21,Matches
Alistair Johnston,DF,ca Canada,24-068,1.us CF Montréal,1998,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.27,0.06,0.33,0.27,0.33,Matches
Frenkie de Jong,MF,nl Netherlands,25-217,1.es Barcelona,1997,5,5,475,5.3,1,1,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,0.9,0.9,0.2,1.1,0.18,0.04,0.22,0.18,0.22,Matches
Luuk de Jong,FW,nl Netherlands,32-110,1.nl PSV Eindhoven,1990,1,0,57,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.25,0.00,0.25,0.25,0.25,Matches
Luka Jović,FW,rs Serbia,24-357,1.it Fiorentina,1997,1,0,36,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.13,0.40,0.53,0.13,0.53,Matches
Son Jun-ho,"MF,DF",kr Korea Republic,30-217,1.cn Shandong Lunen,1992,3,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Vinicius Júnior,FW,br Brazil,22-156,1.es Real Madrid,2000,4,4,299,3.3,1,2,1,0,0,0,0,0.30,0.60,0.90,0.30,0.90,1.0,1.0,0.7,1.7,0.30,0.20,0.50,0.30,0.50,Matches
Josip Juranović,DF,hr Croatia,27-121,1.sct Celtic,1995,6,6,600,6.7,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.0,0.0,0.3,0.4,0.01,0.05,0.06,0.01,0.06,Matches
Daichi Kamada,"FW,MF",jp Japan,26-132,1.de Eint Frankfurt,1996,4,4,322,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.7,0.18,0.01,0.19,0.18,0.19,Matches
Jakub Kamiński,MF,pl Poland,20-193,1.de Wolfsburg,2002,4,2,233,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.3,0.2,0.5,0.14,0.09,0.23,0.10,0.19,Matches
Hossein Kanaanizadegan,DF,ir IR Iran,28-267,1.qa Al Ahli SC,1994,1,0,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Harry Kane,FW,eng England,29-140,1.eng Tottenham,1993,5,5,402,4.5,2,3,1,1,2,0,0,0.45,0.67,1.12,0.22,0.90,2.7,1.1,1.5,2.6,0.60,0.34,0.94,0.25,0.59,Matches
Lee Kangin,"MF,FW",kr Korea Republic,21-299,1.es Mallorca,2001,4,1,147,1.6,0,1,0,0,0,1,0,0.00,0.61,0.61,0.00,0.61,0.2,0.2,0.3,0.4,0.09,0.17,0.27,0.09,0.27,Matches
Mohamed Kanno,"MF,FW",sa Saudi Arabia,28-084,1.sa Al-Hilal,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.10,0.00,0.10,0.10,0.10,Matches
Fran Karačić,DF,au Australia,26-217,2.it Brescia,1996,2,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.17,0.09,0.27,0.17,0.27,Matches
Ali Karimi,MF,ir IR Iran,28-307,1.tr Kayserispor,1994,3,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mark-Anthony Kaye,MF,ca Canada,28-013,1.us Toronto FC,1994,1,1,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
Wajdi Kechrida,DF,tn Tunisia,27-040,1.gr Atromitos,1995,3,1,111,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.08,0.08,0.00,0.08,Matches
Thilo Kehrer,DF,de Germany,26-085,1.eng West Ham,1996,1,1,69,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Wahbi Khazri,"FW,MF",tn Tunisia,31-310,1.fr Montpellier,1991,2,1,83,0.9,1,0,1,0,0,0,0,1.08,0.00,1.08,1.08,1.08,0.4,0.4,0.0,0.4,0.47,0.00,0.47,0.47,0.47,Matches
Musab Kheder,DF,qa Qatar,29-080,1.qa Al Sadd SC,1993,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Boualem Khoukhi,DF,qa Qatar,32-159,1.qa Al Sadd SC,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Joshua Kimmich,"MF,DF",de Germany,27-310,1.de Bayern Munich,1995,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.1,1.5,0.12,0.37,0.49,0.12,0.49,Matches
Jakub Kiwior,DF,pl Poland,22-303,1.it Spezia,2000,4,4,355,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Simon Kjær,DF,dk Denmark,33-264,1.it Milan,1989,1,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Davy Klaassen,"MF,FW",nl Netherlands,29-297,1.nl Ajax,1993,4,3,190,2.1,1,2,1,0,0,0,0,0.47,0.95,1.42,0.47,1.42,0.2,0.2,0.3,0.5,0.11,0.14,0.25,0.11,0.25,Matches
Lukas Klostermann,DF,de Germany,26-195,1.de RB Leipzig,1996,2,0,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Gregor Kobel,GK,ch Switzerland,25-009,1.de Dortmund,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Koke,MF,es Spain,30-341,1.es Atlético Madrid,1992,2,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Randal Kolo Muani,FW,fr France,24-010,1.de Eint Frankfurt,1998,2,1,102,1.1,1,0,1,0,0,0,0,0.88,0.00,0.88,0.88,0.88,0.7,0.7,0.0,0.7,0.58,0.00,0.58,0.58,0.58,Matches
Ibrahima Konaté,DF,fr France,23-204,1.eng Liverpool,1999,4,3,286,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.4,0.12,0.02,0.13,0.12,0.13,Matches
Ismaël Koné,"MF,DF",ca Canada,20-192,1.us CF Montréal,2002,3,0,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
Teun Koopmeiners,MF,nl Netherlands,24-290,1.it Atalanta,1998,5,1,219,2.4,0,1,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41,0.1,0.1,0.2,0.3,0.04,0.09,0.13,0.04,0.13,Matches
Filip Kostić,DF,rs Serbia,30-044,1.it Juventus,1992,2,2,179,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,Matches
Kalidou Koulibaly,DF,sn Senegal,31-178,1.eng Chelsea,1991,4,4,360,4.0,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.5,0.5,0.0,0.5,0.12,0.01,0.13,0.12,0.13,Matches
Jules Koundé,DF,fr France,24-033,1.es Barcelona,1998,5,4,361,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.05,0.02,0.06,0.05,0.06,Matches
Cheikhou Kouyaté,MF,sn Senegal,32-359,1.eng Nott'ham Forest,1989,1,1,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches
Mateo Kovačić,MF,hr Croatia,28-223,1.eng Chelsea,1994,6,6,545,6.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.0,1.0,0.01,0.16,0.17,0.01,0.17,Matches
Andrej Kramarić,FW,hr Croatia,31-179,1.de Hoffenheim,1991,6,6,414,4.6,2,0,2,0,0,0,0,0.43,0.00,0.43,0.43,0.43,1.6,1.6,0.2,1.7,0.34,0.03,0.37,0.34,0.37,Matches
Grzegorz Krychowiak,MF,pl Poland,32-320,1.sa Al-Shabab,1990,4,4,332,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.05,0.05,0.01,0.05,Matches
Takefusa Kubo,FW,jp Japan,21-194,1.es Real Sociedad,2001,2,2,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Pierre Kunde,MF,cm Cameroon,27-142,1.gr Olympiacos,1995,2,2,131,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.15,0.05,0.20,0.15,0.20,Matches
Garang Kuol,"FW,MF",au Australia,18-091,1.au Central Coast,2004,2,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.92,0.00,0.92,0.92,0.92,Matches
Daniel Kyereh,"MF,DF",gh Ghana,26-282,1.de Freiburg,1996,3,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kwon Kyung-won,DF,kr Korea Republic,30-318,1.jp Gamba Osaka,1992,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
Aïssa Laïdouni,MF,tn Tunisia,26-002,1.hu Ferencváros,1996,3,3,243,2.7,0,1,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,0.1,0.1,0.4,0.6,0.05,0.16,0.21,0.05,0.21,Matches
Tariq Lamptey,DF,gh Ghana,22-076,1.eng Brighton,2000,2,1,102,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches
Noa Lang,MF,nl Netherlands,23-181,1.be Club Brugge,1999,1,0,8,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,,,,,,Matches
Aymeric Laporte,DF,es Spain,28-202,1.eng Manchester City,1994,3,3,300,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches
