Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
11,Marcos Acuña,DF,ar Argentina,31-049,1.es Sevilla,1991,5,4,316,3.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches
12,Tyler Adams,MF,us United States,23-305,1.eng Leeds United,1999,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.5,0.01,0.11,0.12,0.01,0.12,Matches
13,Sam Adekugbe,DF,ca Canada,27-334,1.tr Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.09,0.09,0.00,0.09,Matches
14,Michel Aebischer,"MF,FW",ch Switzerland,25-344,1.it Bologna,1997,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Akram Afif,FW,qa Qatar,26-028,1.qa Al Sadd SC,1996,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.02,0.10,0.12,0.02,0.12,Matches
16,Nayef Aguerd,DF,ma Morocco,26-261,1.eng West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.01,0.05,0.04,0.05,Matches
17,Brandon Aguilera,MF,cr Costa Rica,19-171,1.cr Asociación Deportiva Guanacasteca,2003,3,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Homam Ahmed,DF,qa Qatar,23-113,1.qa Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
19,Manuel Akanji,DF,ch Switzerland,27-150,1.eng Manchester City,1995,4,4,360,4.0,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,1.1,1.1,0.1,1.2,0.28,0.03,0.30,0.28,0.30,Matches
20,Nathan Aké,DF,nl Netherlands,27-301,1.eng Manchester City,1995,5,5,479,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
21,Ahmed Alaaeldin,FW,qa Qatar,29-319,1.qa Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
22,Jordi Alba,DF,es Spain,33-270,1.es Barcelona,1989,4,3,264,2.9,0,2,0,0,0,0,0,0.00,0.68,0.68,0.00,0.68,0.0,0.0,0.9,0.9,0.01,0.31,0.32,0.01,0.32,Matches
23,Toby Alderweireld,DF,be Belgium,33-289,1.be Antwerp,1989,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.0,0.0,0.3,0.3,0.00,0.11,0.11,0.00,0.11,Matches
24,Trent Alexander-Arnold,DF,eng England,24-070,1.eng Liverpool,1998,1,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
25,Almoez Ali,FW,qa Qatar,26-119,1.qa Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.15,0.00,0.15,0.15,0.15,Matches
26,Alisson,GK,br Brazil,30-075,1.eng Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Joe Allen,MF,wls Wales,32-277,2.eng Swansea City,1990,2,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.10,0.05,0.15,0.10,0.15,Matches
28,Thiago Almada,MF,ar Argentina,21-234,1.us Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,3.16,3.16,0.00,3.16,Matches
29,Roberto Alvarado,FW,mx Mexico,24-100,1.mx Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Edson Álvarez,MF,mx Mexico,25-053,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.11,0.12,0.01,0.12,Matches
31,Julián Álvarez,"FW,MF",ar Argentina,22-319,1.eng Manchester City,2000,6,4,362,4.0,4,0,4,0,0,0,0,0.99,0.00,0.99,0.99,0.99,2.6,2.6,0.1,2.6,0.64,0.02,0.66,0.64,0.66,Matches
32,Kevin Álvarez,DF,mx Mexico,23-335,1.mx Pachuca,1999,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
33,Dani Alves,DF,br Brazil,39-224,1.mx UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.00,0.14,0.14,0.14,Matches
